Ping_date, Ping_time, Ping_milliseconds, Target_range, Target_on_axis_depth, TS_comp, TS_uncomp, Angle_minor_axis, Angle_major_axis, PulseLengthDeterminationLevel, Samples_above_PLDL, StandDev_Angles_Minor_Axis, StandDev_Angles_Major_Axis, PulseLength_Normalized_6dB, PulseLength_Normalized_12dB, PulseLength_Normalized_18dB, PulseLength_Normalized_PLDL, Pulse_Start_Normalized_6dB, Pulse_Start_Normalized_12dB, Pulse_Start_Normalized_18dB, Pulse_Start_Normalized_PLDL, Transmitted_pulse_length, Target_true_depth, Target_latitude, Target_longitude, Target_northing, Target_easting, Exclude_below_line_depth, Target_length, Target_length_uncompensated, Target_length_manual, Target_perimeter, Target_area, Target_intensity_variation, Target_compactness, Target_thickness, Target_length_across_beams, Target_range_extent, Ping_number, Target_class, Target_orientation, 
2014-04-02, 19:50:25, 699.0, 55.06191494, 55.06191494, -42.885299, -46.640800, 2.5068, -1.2228, 6.000000, 4, 0.030571, 0.000000, 0.750000, 1.000000, 1.500000, 0.750000, -0.500000, -0.500000, -0.750000, -0.500000, 0.064000, 54.996719, 37.987192, -119.857508, 2.670507, -0.209434, 57.886263, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, 1644, Unclassified, -9.9e+37, 
2014-04-02, 19:50:26, 199.0, 55.0858242076, 55.0858242076, -41.821086, -45.185119, 2.2011, -1.4674, 6.000000, 4, 0.000000, 0.030571, 0.750000, 1.000000, 1.750000, 0.750000, -0.500000, -0.500000, -0.750000, -0.500000, 0.064000, 55.027156, 37.987190, -119.857493, 2.323281, 1.030808, 57.867986, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, 1645, Unclassified, -9.9e+37, 
2014-04-02, 19:50:26, 699.0, 55.1279018350, 55.1279018350, -42.428928, -46.038880, 2.4457, -1.2228, 6.000000, 5, 0.027343, 0.027343, 1.000000, 1.500000, 2.000000, 1.000000, -0.750000, -0.750000, -1.000000, -0.750000, 0.064000, 55.065167, 37.987190, -119.857487, 2.252420, 1.356305, 57.888371, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, 1646, Unclassified, -9.9e+37, 
2014-04-02, 19:50:27, 199.0, 55.1821621812, 55.1821621812, -42.393151, -45.864875, 2.3234, -1.3451, 6.000000, 6, 0.000000, 0.000000, 1.250000, 2.000000, 2.500000, 1.250000, -0.500000, -0.750000, -1.000000, -0.500000, 0.064000, 55.121630, 37.987185, -119.857525, 1.606178, -2.024145, 57.833948, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, 1647, Unclassified, -9.9e+37, 
2014-04-02, 19:50:27, 699.0, 55.2058794271, 55.2058794271, -41.818104, -45.373522, 2.0177, -1.8342, 6.000000, 4, 0.030571, 0.000000, 0.750000, 1.000000, 1.750000, 0.750000, -0.500000, -0.500000, -0.750000, -0.500000, 0.064000, 55.143418, 37.987183, -119.857530, 1.159953, -2.355236, 57.889519, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, 1648, Unclassified, -9.9e+37, 
2014-04-02, 19:50:28, 199.0, 55.2419736243, 55.2419736243, -42.756534, -46.311953, 1.8342, -2.0177, 6.000000, 4, 0.035300, 0.000000, 0.750000, 1.750000, 2.250000, 0.750000, -0.500000, -0.750000, -1.000000, -0.500000, 0.064000, 55.179471, 37.987180, -119.857533, 0.660114, -2.542812, 57.875395, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, 1649, Unclassified, -9.9e+37, 
2014-04-02, 19:50:28, 699.0, 55.2900789302, 55.2900789302, -42.279490, -45.752329, 2.0788, -1.712, 6.000000, 4, 0.030571, 0.000000, 0.750000, 1.500000, 2.000000, 0.750000, -0.500000, -0.750000, -1.000000, -0.500000, 0.064000, 55.229061, 37.987187, -119.857533, 1.006854, -2.393737, 57.796211, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, 1650, Unclassified, -9.9e+37, 
2014-04-02, 19:50:29, 199.0, 55.3500383058, 55.3500383058, -36.340131, -39.085201, 1.8342, -1.5285, 6.000000, 4, 0.000000, 0.000000, 0.750000, 1.500000, 1.750000, 0.750000, -0.250000, -0.500000, -0.500000, -0.250000, 0.064000, 55.302012, 37.987183, -119.857532, 0.477482, -2.255277, 57.820136, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, 1651, Unclassified, -9.9e+37, 
2014-04-02, 19:50:29, 699.0, 55.3618687124, 55.3618687124, -34.175617, -37.669528, 1.4674, -2.2622, 6.000000, 4, 0.091712, 0.030571, 0.750000, 1.250000, 1.750000, 0.750000, -0.500000, -0.500000, -0.750000, -0.500000, 0.064000, 55.300608, 37.987177, -119.857537, -0.239685, -2.592654, 57.802935, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, 1652, Unclassified, -9.9e+37, 
2014-04-02, 19:50:31, 199.0, 55.4519939165, 55.4519939165, -34.173465, -37.646305, 1.712, -2.0788, 6.000000, 5, 0.027343, 0.000000, 1.000000, 1.250000, 1.750000, 1.000000, -0.500000, -0.500000, -0.750000, -0.500000, 0.064000, 55.390797, 37.987207, -119.857505, 2.604246, -0.034464, 57.782885, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, 1655, Unclassified, -9.9e+37, 
