Date (MM/DD/YYYY),Time (HH:MM:SS),Depth m,ODO % sat,ODO mg/L,Temp °C,Cond µS/cm,TDS mg/L,SpCond µS/cm,Sal psu,nLF Cond µS/cm,Turbidity FNU,TSS mg/L,Chlorophyll RFU,Chlorophyll µg/L,BGA-PC RFU,BGA-PC µg/L,fDOM RFU,fDOM QSU,pH,pH mV,ORP mV,ORP raw mV,Press psi a,Depth m
10/20/2013,21:26:45,0,64.4,6.98,11.706,43,28,57,0.03,58,-0.3,0,0.01,-0.02,0.14,-0.39,-0.64,0.34,7.88,-83.6,181.2,154,0,0
10/20/2013,21:26:45,0.001,64.4,6.99,11.702,43,28,57,0.03,58,-0.3,0,0.01,-0.03,0.15,-0.39,-0.64,0.33,7.88,-83.4,181.1,154,0.001,0.001
10/20/2013,21:26:46,0.002,64.4,6.99,11.696,43,28,57,0.03,58,-0.3,0,0.01,-0.03,0.15,-0.39,-0.64,0.33,7.87,-82.8,181.1,153.9,0.003,0.002
10/20/2013,21:26:46,0.005,64.4,6.99,11.694,43,28,57,0.03,58,-0.3,0,0.01,-0.03,0.15,-0.39,-0.65,0.33,7.87,-83.1,181,153.9,0.007,0.005
10/20/2013,21:26:47,0.009,64.5,7,11.691,43,28,57,0.03,58,-0.3,0,0.01,-0.02,0.15,-0.39,-0.65,0.33,7.88,-83.4,180.9,153.7,0.012,0.009
10/20/2013,21:26:47,0.011,64.5,7,11.688,43,28,57,0.03,58,-0.3,0,0.01,-0.01,0.15,-0.38,-0.64,0.34,7.89,-83.7,180.7,153.5,0.016,0.011
10/20/2013,21:26:48,0.016,64.5,7,11.671,43,28,57,0.03,58,-0.3,0,0.01,-0.01,0.16,-0.38,-0.64,0.34,7.89,-83.8,180.5,153.4,0.023,0.016
10/20/2013,21:26:48,0.02,64.5,7,11.671,43,28,57,0.03,58,-0.3,0,0.01,-0.01,0.16,-0.38,-0.64,0.33,7.89,-83.8,180.3,153.2,0.029,0.02
10/20/2013,21:26:49,0.026,64.5,7,11.661,43,28,57,0.03,58,-0.3,0,0.01,-0.03,0.16,-0.38,-0.64,0.33,7.89,-83.8,180.2,153,0.037,0.026
10/20/2013,21:26:49,0.033,64.5,7,11.651,42,28,57,0.03,58,-0.3,0,0.01,-0.04,0.16,-0.38,-0.64,0.33,7.89,-83.8,180,152.8,0.046,0.033
10/20/2013,21:26:50,0.037,64.5,7.01,11.637,42,28,57,0.03,58,-0.3,0,0.01,-0.03,0.15,-0.38,-0.64,0.34,7.89,-83.8,179.8,152.6,0.053,0.037
10/20/2013,21:26:50,0.045,64.5,7.01,11.618,42,28,57,0.03,58,-0.3,0,0.01,-0.04,0.16,-0.38,-0.64,0.35,7.89,-83.8,179.7,152.5,0.064,0.045
10/20/2013,21:26:51,0.054,64.5,7.01,11.599,42,28,57,0.03,58,-0.3,0,0.01,-0.03,0.15,-0.38,-0.64,0.35,7.89,-83.8,179.5,152.3,0.076,0.054
10/20/2013,21:26:51,0.06,64.4,7.01,11.581,42,28,57,0.03,58,-0.3,0,0,-0.04,0.15,-0.39,-0.64,0.35,7.89,-83.8,179.3,152.2,0.085,0.06
10/20/2013,21:26:52,0.069,64.4,7.01,11.552,42,28,57,0.03,58,-0.3,0,0,-0.04,0.15,-0.39,-0.64,0.36,7.88,-83.7,179.2,152,0.098,0.069
10/20/2013,21:26:52,0.075,64.4,7.01,11.524,42,28,57,0.03,58,-0.3,0,0,-0.05,0.15,-0.39,-0.64,0.35,7.88,-83.6,179.1,151.9,0.106,0.075
10/20/2013,21:26:53,0.084,64.4,7.01,11.493,42,27,57,0.03,58,-0.3,0,0,-0.07,0.15,-0.38,-0.64,0.34,7.88,-83.6,178.9,151.7,0.119,0.084
10/20/2013,21:26:53,0.09,64.3,7.01,11.468,42,27,57,0.03,58,-0.3,0,0,-0.05,0.15,-0.38,-0.64,0.34,7.88,-83.5,178.8,151.6,0.128,0.09
10/20/2013,21:26:54,0.099,64.3,7.01,11.436,42,27,57,0.03,58,-0.3,0,0,-0.06,0.16,-0.38,-0.64,0.35,7.88,-83.4,178.7,151.5,0.14,0.099
10/20/2013,21:26:54,0.108,64.3,7.01,11.407,42,27,57,0.03,58,-0.3,0,0,-0.07,0.16,-0.38,-0.64,0.36,7.88,-83.4,178.6,151.4,0.154,0.108
10/20/2013,21:26:55,0.117,64.3,7.02,11.384,42,27,57,0.03,58,-0.3,0,0,-0.08,0.16,-0.38,-0.64,0.36,7.88,-83.3,178.4,151.3,0.167,0.117
10/20/2013,21:26:55,0.124,64.3,7.02,11.362,42,27,57,0.03,58,-0.3,0,0,-0.08,0.16,-0.38,-0.64,0.35,7.88,-83.2,178.3,151.2,0.176,0.124
10/20/2013,21:26:56,0.133,64.2,7.02,11.345,42,27,57,0.03,58,-0.3,0,0,-0.07,0.16,-0.38,-0.64,0.35,7.88,-83.2,178.2,151,0.19,0.133
10/20/2013,21:26:56,0.14,64.2,7.02,11.322,42,27,57,0.03,58,-0.3,0,0,-0.07,0.16,-0.38,-0.64,0.35,7.87,-83.1,178.1,150.9,0.198,0.14
10/20/2013,21:26:57,0.149,64.2,7.02,11.299,42,27,57,0.03,58,-0.3,0,0,-0.07,0.16,-0.38,-0.64,0.35,7.87,-83,178,150.8,0.212,0.149
10/20/2013,21:26:57,0.156,64.2,7.02,11.269,42,27,57,0.03,58,-0.3,0,0,-0.06,0.15,-0.38,-0.64,0.35,7.87,-82.9,177.9,150.7,0.221,0.156
10/20/2013,21:26:58,0.166,64.1,7.03,11.245,42,27,57,0.03,58,-0.3,0,0,-0.06,0.15,-0.38,-0.64,0.35,7.87,-82.9,177.8,150.6,0.235,0.166
10/20/2013,21:26:58,0.176,64.1,7.03,11.213,42,27,57,0.03,58,-0.3,0,0,-0.07,0.16,-0.38,-0.64,0.34,7.87,-82.8,177.7,150.5,0.25,0.176
10/20/2013,21:26:59,0.186,64.1,7.03,11.181,42,27,57,0.03,58,-0.3,0,-0.01,-0.09,0.16,-0.38,-0.64,0.34,7.87,-82.7,177.6,150.4,0.264,0.186
10/20/2013,21:26:59,0.192,64,7.03,11.148,42,27,57,0.03,58,-0.3,0,-0.01,-0.09,0.15,-0.38,-0.64,0.34,7.87,-82.7,177.5,150.3,0.273,0.192
10/20/2013,21:27:00,0.202,64,7.03,11.124,42,27,57,0.03,58,-0.3,0,0,-0.08,0.16,-0.38,-0.64,0.34,7.87,-82.6,177.3,150.2,0.287,0.202
10/20/2013,21:27:00,0.209,64,7.03,11.094,42,27,57,0.03,58,-0.3,0,0,-0.08,0.15,-0.39,-0.64,0.34,7.87,-82.6,177.2,150.1,0.298,0.209
10/20/2013,21:27:01,0.222,64,7.04,11.064,42,27,57,0.03,58,-0.3,0,-0.01,-0.09,0.15,-0.38,-0.64,0.33,7.86,-82.5,177.2,150,0.315,0.222
10/20/2013,21:27:01,0.235,63.9,7.04,11.034,42,27,57,0.03,58,-0.3,0,-0.01,-0.08,0.16,-0.38,-0.65,0.33,7.86,-82.5,177,149.9,0.333,0.235
10/20/2013,21:27:02,0.244,63.9,7.04,11.011,42,27,57,0.03,58,-0.3,0,0,-0.08,0.15,-0.38,-0.65,0.32,7.86,-82.4,177,149.8,0.346,0.244
10/20/2013,21:27:02,0.989,63.9,7.04,10.982,42,27,57,0.03,58,-0.3,0,0,-0.08,0.15,-0.38,-0.65,0.32,7.86,-82.4,176.9,149.7,1.406,0.989
10/20/2013,21:27:03,1.016,63.9,7.04,10.929,42,27,57,0.03,58,-0.3,0,0,-0.07,0.16,-0.38,-0.65,0.33,7.86,-82.3,176.8,149.6,1.445,1.016
10/20/2013,21:27:03,1.075,63.8,7.05,10.929,42,27,57,0.03,58,-0.3,0,0,-0.07,0.16,-0.38,-0.65,0.32,7.86,-82.3,176.7,149.5,1.528,1.075
10/20/2013,21:27:04,1.113,63.8,7.05,10.911,42,27,57,0.03,58,-0.2,0,0,-0.05,0.16,-0.38,-0.64,0.33,7.86,-82.3,176.6,149.4,1.582,1.113
10/20/2013,21:27:04,1.14,63.8,7.05,10.892,42,27,57,0.03,58,-0.2,0,0,-0.06,0.16,-0.38,-0.64,0.33,7.86,-82.2,176.5,149.3,1.621,1.14
10/20/2013,21:27:05,1.185,63.8,7.06,10.881,42,27,57,0.03,58,-0.2,0,0,-0.04,0.16,-0.38,-0.64,0.33,7.86,-82.2,176.4,149.3,1.685,1.185
10/20/2013,21:27:05,1.239,63.8,7.06,10.869,42,27,57,0.03,58,-0.2,0,0.01,-0.02,0.16,-0.38,-0.64,0.34,7.86,-82.1,176.3,149.2,1.762,1.239
10/20/2013,21:27:06,1.243,63.8,7.06,10.856,42,27,57,0.03,58,-0.2,0,0.01,-0.02,0.16,-0.38,-0.64,0.34,7.86,-82.1,176.3,149.1,1.767,1.243
10/20/2013,21:27:06,1.254,63.9,7.06,10.85,42,27,57,0.03,58,-0.2,0,0.01,-0.02,0.16,-0.37,-0.64,0.34,7.86,-82.1,176.1,149,1.783,1.254
10/20/2013,21:27:07,1.258,63.9,7.07,10.84,42,27,57,0.03,58,-0.2,0,0.01,0,0.16,-0.37,-0.64,0.34,7.86,-82,176.1,148.9,1.789,1.258
10/20/2013,21:27:07,1.264,63.9,7.07,10.828,42,27,57,0.03,58,-0.2,0,0.01,-0.01,0.16,-0.38,-0.64,0.33,7.85,-82,175.9,148.8,1.797,1.264
10/20/2013,21:27:08,1.27,63.8,7.07,10.811,42,27,57,0.03,58,-0.2,0,0.01,0,0.16,-0.37,-0.65,0.33,7.85,-81.9,175.9,148.7,1.806,1.27
10/20/2013,21:27:08,1.284,63.8,7.07,10.796,42,27,57,0.03,58,-0.2,0,0.01,0,0.17,-0.37,-0.64,0.34,7.85,-81.9,175.7,148.6,1.825,1.284
10/20/2013,21:27:09,1.3,63.8,7.07,10.777,42,27,57,0.03,58,-0.2,0,0.02,0.02,0.17,-0.37,-0.64,0.34,7.85,-81.9,175.7,148.5,1.849,1.3
10/20/2013,21:27:09,1.313,63.8,7.07,10.756,42,27,57,0.03,58,-0.2,0,0.02,0.02,0.17,-0.37,-0.65,0.33,7.85,-81.8,175.6,148.4,1.867,1.313
