,,,,,,,Group,Copepods,Copepods,Copepods,Copepods,Copepods,Hydroids,Copepods,Copepods,Copepods,Copepods,Copepods,Cladocerans,Nematode,Cladocerans,Cladocerans,Cladocerans,Cladocerans,Cladocerans,Cladocerans,Cladocerans,Cladocerans,Cladocerans,Cladocerans,Cladocerans,Ostracods,Rotifers
,,,,,,,Order,Calanoida,Calanoida,Calanoida,NA,Calanoida,NA,Calanoida,Cyclopoid,Cyclopoid,Cyclopoid,Cyclopoid,Cladocera,NA,Cladocera,Cladocera,Cladocera,Cladocera,Sididae,Ctenopoda,Ctenopoda,Ctenopoda,Ctenopoda,Bosmina,Bosmina,Ostracoda,NA
,,,,,,,Genus,Epischura,Epischura,Diaptomous,NA,NA,NA,Eurytamora,Euryclops,NA,Orthocyclops,Diacyclops,Daphnia,NA,Daphnia,Daphnia,Daphnia,Daphnia,NA,Diplostraca,Diplostraca,Diplostraca,Diplostraca,Bosmina,Bosmina,NA,NA
,,,,,,,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,thomasi,Pulicaria,NA,pulex,middendorffiana,NA,NA,NA,Pseudorida,Diaphonsoma,Holopedium,Unidentified,NA,longirostris,NA,NA
,,,,,,,LifeStage,Adult,Copepodite,Adult,Nauplius,Adult,NA,Adult,Adult,Adult,Adult,Adult,Adult,NA,Adult,Adult,Adult,Nauplius,Adult,bindentata,birgei,gibberum,NA,Adult,Adult,Adult,Adult
Year,Month,Day,Lake,SplitNumber,Counter,QC,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,9,30,Tahoe,TS1-1,SSU,,Training set 1,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,9,30,Tahoe,TS2-2,MDA,SSU,Training set 2,28,,28,52,1,,3,7,,,,1,1,,,,,,,,,,,,,
2014,9,30,Tahoe,S2,MDA,,,35,10,19,38,4,,1,2,,,,2,1,,,,,,,,,,,,,
2014,9,10,Cherry,S2,MDA,,,5,,5,68,3,,6,6,,8,,34,1,,,10,,3,,,,,,,,
2014,9,30,Tahoe,TS3-3,MEM,,Training set 3,62,,2,17,,,,,,,,,,,,,,,,,,,,,,
2014,9,30,Tahoe,TS4-4,KAH,,Training set 4,85,,7,36,,,,,,,,2,,,,,,,,,,,,,,
2014,6,25,Eleanor,S2,MDA,,,7,,5,127,1,,,2,,5,,21,,,,,,,22,,,,,,,
2014,6,24,Cherry,S2,MEM,MDA,,260,,,57,,,,,,,,,,,,80,,55,,,,,,,,
2014,4,2,Eleanor,S2,MEM,MDA,,35,,,19,,,,,,,,,,,,8,21,8,,,,,,,,
2014,9,11,Eleanor,S2,MDA,,,19,2,5,237,,,,9,,,,38,2,,,,,,11,,,,,,,
2014,4,1,Cherry,S2,MDA,,,1,1,,30,,,,20,,3,,,,,,,21,10,,3,45,,,,,
2014,9,30,Tahoe,S3,MEM,KAH,,105,,30,110,,,,,,,,,,,,,,,,,,,,,,
2014,9,30,Eleanor,S1,MDA,,,,4,6,61,,,,65,,67,,227,,,,,,6,50,,,,,,,
2013,10,30,Eleanor,Recount,CLT,,,2,,8,23,,,8,132,,,,,,,,198,,,,,,84,21,,,
2013,10,29,Cherry,Recount,CLT,,,3,,,19,8,,4,42,,,,,,,,9,,,,,,79,20,,,
2013,10,21,Tahoe,1,SSU,SSU,"Dropped one tray, lost 15 drops",70,,179,40,25,,,,,,,,,,,1,,,,,,,4,,1,
2013,10,20,Independence,1,SSU,SSU,,,,,,,,,,,,380,,,13,350,,,,,,,,,50,,41
