Year,Month,Day,Lake,MaxDepth,NetType,NetDiam,NetMesh,VolFiltered,SplitAtTERC,TERCSplitFactor,SplitAtSBU,VolGradCyl,Biovolume,VolSplit,SplitNumber,VolGradCyl2,VolSplit2,TotalDilutionFactor,Counter,DateStarted,DateCompleted,InComputer,Stored,Comments
2013,10,29,Cherry,50,Pantyhose,0.1,,5,No,1,No,,,,0,,,1,MDA,,,,,
2013,10,30,Eleanor,50,Pantyhose,0.1,,5,No,1,No,,,,0,,,1,MDA,,,,,
2014,4,1,Cherry,50,Ring,0.3,80,15,Yes,0.16,Yes,23.8,2,9.1,1,NA,NA,0.06117647059,NA,,,,,
2014,4,1,Cherry,50,Ring,0.3,80,15,Yes,0.16,Yes,23.8,2,9.1,2,94,21.5,0.01399249061,MDA,,,,,
2014,4,2,Eleanor,50,Ring,0.3,80,15,Yes,0.16,Yes,22.9,0.5,10.2,1,NA,NA,0.07126637555,NA,,,,,
2014,4,2,Eleanor,50,Ring,0.3,80,15,Yes,0.16,Yes,22.9,0.5,10.2,2,95,19,0.01425327511,MEM,,,,,
2014,6,24,Cherry,53,Ring,0.3,80,15.9,Yes,0.16,Yes,24,4.5,8.9,1,NA,NA,0.05933333333,NA,,,,,
2014,6,24,Cherry,53,Ring,0.3,80,15.9,Yes,0.16,Yes,24,4.5,8.9,2,95,17,0.01061754386,Unkown,,,,,
2014,6,25,Eleanor,50,Ring,0.3,80,15,Yes,0.16,Yes,23.5,6,3.5,1,NA,NA,0.02382978723,NA,,,,,
2014,6,25,Eleanor,50,Ring,0.3,80,15,Yes,0.16,Yes,23.5,6,3.5,2,50.5,14.5,0.006842216137,MDA,,,,,"Split 2, off of split 1"
2014,9,10,Cherry,50,Ring,0.3,80,15,Yes,0.16,Yes,23.3,2.5,2.8,1,NA,NA,0.01922746781,NA,,,,,
2014,9,10,Cherry,50,Ring,0.3,80,15,Yes,0.16,Yes,23.3,2.5,2.8,2,95.5,22,0.004429364313,MDA,,,,,"Split 2, off of split 1"
2014,9,11,Eleanor,50,Ring,0.3,80,15,Yes,0.16,Yes,25.2,1,9.1,1,NA,NA,0.05777777778,NA,,,,,
2014,9,11,Eleanor,50,Ring,0.3,80,15,Yes,0.16,Yes,25.2,1,9.1,2,94.5,20.5,0.01253380364,MDA,,,,,
2014,9,30,Tahoe,60,Ring,0.75,80,45,No,1,Yes,47,5,2.2,1,NA,NA,0.04680851064,NA,,,,,
2014,9,30,Tahoe,60,Ring,0.75,80,45,No,1,Yes,280,5,15,3,NA,NA,0.05357142857,MEM,,,,,
2014,9,30,Tahoe,60,Ring,0.75,80,45,No,1,Yes,47,5,2.2,2,95,8,0.003941769317,MDA,,,,,"Split 2, off of split 1"
2014,9,30,Tahoe,60,Ring,0.75,80,45,No,1,Yes,44.8,5,2.8,TS1-1,96,10,0.006510416667,SSU,,,,,Training set
2014,9,30,Tahoe,60,Ring,0.75,80,45,No,1,Yes,42,5,3,TS2-1,95,7,0.005263157895,NA,,,,,Training set
2014,9,30,Tahoe,60,Ring,0.75,80,45,No,1,Yes,39,5,3.8,TS3-1,95,7,0.007179487179,NA,,,,,Training set
2014,9,30,Tahoe,60,Ring,0.75,80,45,No,1,Yes,35.2,5,3.2,TS4-1,90,9,0.009090909091,NA,,,,,Training set
2014,9,30,Tahoe,60,Ring,0.75,80,45,No,1,Yes,44.8,5,2.8,TS1-2,96,86,0.05598958333,NA,,,,,
2014,9,30,Tahoe,60,Ring,0.75,80,45,No,1,Yes,42,5,3,TS2-2,95,87,0.06541353383,MDA,,,,,
2014,9,30,Tahoe,60,Ring,0.75,80,45,No,1,Yes,39,5,3.8,TS3-2,95,88,0.09025641026,NA,,,,,
2014,9,30,Tahoe,60,Ring,0.75,80,45,No,1,Yes,35.2,5,3.2,TS4-2,90,81,0.08181818182,NA,,,,,
