"","trip","Lake","Cladocerans_TS","Cladocerans_weight","Cladocerans_n","Cladocerans_percent","Copepods_TS","Copepods_weight","Copepods_n","Copepods_percent","Nauplius_TS","Nauplius_weight","Nauplius_n","Nauplius_percent"
"1","2013-10","Cherry",-117.9,2.9,108,59,-121.1,4.1,57,31,-148.4,0.1,19,10
"2","2013-10","Eleanor",-112.9,7.6,303,64,-113.6,5.8,150,32,NA,NA,NA,NA
"3","2013-10","Independence",-113.9,6.1,413,52,-117.3,5.2,380,48,NA,NA,NA,NA
"4","2013-10","Tahoe",NA,NA,NA,NA,-104.3,13,274,86,-130.5,0.2,40,13
"5","2014-04","Cherry",-113.4,6.5,58,43,-112.5,5.4,25,19,-120.3,0.4,51,38
"6","2014-04","Eleanor",-127.1,1.8,16,18,-123.4,3,35,38,-127.2,0.2,40,44
"7","2014-06","Cherry",-119.3,2.5,135,30,-123.1,3.1,260,58,-134,0.1,57,13
"8","2014-06","Eleanor",-117.2,4,43,23,-128.7,2.1,20,11,NA,NA,NA,NA
"9","2014-09","Cherry",-123.6,2.3,47,32,-127.8,1.9,33,22,NA,NA,NA,NA
"10","2014-09","Eleanor",NA,NA,NA,NA,-110.8,10.3,177,22,-118.8,0.4,298,37
"11","2014-09","Tahoe",NA,NA,NA,NA,-120.3,3.6,429,62,-129.1,0.2,253,37
