"trip","Lake","model","freq","TS","weight","n","total","proportion"
"2013-10","Cherry","Cladocerans",120,-141.50875843696693,2.9367509757151873e-6,108.0,184.0,0.5869565217391305
"2013-10","Cherry","Cladocerans",710,-117.93268056644918,2.9367509757151873e-6,108.0,184.0,0.5869565217391305
"2014-04","Cherry","Cladocerans",120,-136.1175642403194,6.549698097416113e-6,58.0,134.0,0.43283582089552236
"2014-04","Cherry","Cladocerans",710,-113.39684683129695,6.549698097416113e-6,58.0,134.0,0.43283582089552236
"2014-06","Cherry","Cladocerans",120,-144.0718661333804,2.4808152868400786e-6,135.0,452.0,0.29867256637168144
"2014-06","Cherry","Cladocerans",710,-119.25244837209459,2.4808152868400786e-6,135.0,452.0,0.29867256637168144
"2014-09","Cherry","Cladocerans",120,-152.0442328705854,2.335493744612775e-6,47.0,148.0,0.31756756756756754
"2014-09","Cherry","Cladocerans",710,-123.63329880757792,2.335493744612775e-6,47.0,148.0,0.31756756756756754
"2013-10","Eleanor","Cladocerans",120,-133.50574534274236,7.5734848765515745e-6,303.0,476.0,0.6365546218487395
"2013-10","Eleanor","Cladocerans",710,-112.94310668932698,7.5734848765515745e-6,303.0,476.0,0.6365546218487395
"2014-04","Eleanor","Cladocerans",120,-156.04648177425787,1.823143411820217e-6,16.0,91.0,0.17582417582417584
"2014-04","Eleanor","Cladocerans",710,-127.05395222983296,1.823143411820217e-6,16.0,91.0,0.17582417582417584
"2014-06","Eleanor","Cladocerans",120,-141.9683910810825,3.9669090916585894e-6,43.0,190.0,0.22631578947368422
"2014-06","Eleanor","Cladocerans",710,-117.22210952390108,3.9669090916585894e-6,43.0,190.0,0.22631578947368422
"2013-10","Independence","Cladocerans",120,-138.62390641484797,6.130792638395524e-6,413.0,793.0,0.5208070617906684
"2013-10","Independence","Cladocerans",710,-113.88814289793574,6.130792638395524e-6,413.0,793.0,0.5208070617906684
"2013-10","Cherry","Copepods",120,-151.81231665535887,4.119921501167685e-6,57.0,184.0,0.30978260869565216
"2013-10","Cherry","Copepods",710,-121.13553184819465,4.119921501167685e-6,57.0,184.0,0.30978260869565216
"2014-04","Cherry","Copepods",120,-142.67009494846715,5.400860727408692e-6,25.0,134.0,0.1865671641791045
"2014-04","Cherry","Copepods",710,-112.50003213757748,5.400860727408692e-6,25.0,134.0,0.1865671641791045
"2014-06","Cherry","Copepods",120,-153.72916685737655,3.112024538434121e-6,260.0,452.0,0.5752212389380531
"2014-06","Cherry","Copepods",710,-123.06062030546153,3.112024538434121e-6,260.0,452.0,0.5752212389380531
"2014-09","Cherry","Copepods",120,-158.54882360944336,1.8844975940790958e-6,33.0,148.0,0.22297297297297297
"2014-09","Cherry","Copepods",710,-127.83876049610627,1.8844975940790958e-6,33.0,148.0,0.22297297297297297
